0	0	64	64	0
5	0	64	64	0
10	0	64	64	0
15	0	64	64	0
20	0	64	64	0
25	0	64	64	0
30	0	64	64	0
35	0	64	64	0
40	0	64	64	0
45	0	64	64	0
50	0	64	64	0
55	0	64	64	0
60	0	64	64	0
65	0	64	64	0
70	0	64	64	0
75	0	64	64	0
80	0	64	64	0
85	0	64	64	0
90	0	64	64	0
95	0	64	64	0
100	0	64	64	0
105	0	64	64	0
110	0	64	64	0
115	0	64	64	0
120	0	64	64	0
125	0	64	64	0
130	0	64	64	0
135	0	64	64	0
140	0	64	64	0
145	0.415966139814262	64	64	0
150	1.63931081425317	64	64	0
155	3.59745970417439	64	64	0
160	6.17303674490717	64	64	0
165	9.20908602885711	64	64	0
170	12.5160929601801	64	64	0
175	14.7008329338182	64	64	0
180	15.4504028591622	64	64	0
185	15.7439678171543	64	64	0
190	15.5728634978534	64	64	0
195	14.9421398938228	64	64	0
200	13.8704122540681	64	64	0
205	12.3893116714375	64	64	0
210	10.542551518908	64	64	0
215	8.38463728806675	64	64	0
220	5.97925790776273	64	64	0
225	3.39740602173363	64	64	0
230	0.715282703551986	64	64	0
235	-1.98795155062621	64	64	0
240	-4.63251317405141	64	64	0
245	-7.14035027074764	64	64	0
250	-9.43744624814917	64	64	0
255	-11.4560043513281	64	64	0
260	-13.1364486242186	64	64	0
265	-14.4291822412374	64	64	0
270	-15.1072079848955	64	64	0
275	-13.0928898720752	64	64	0
280	-10.6354901201274	64	64	0
285	-7.95043887382461	64	64	0
290	-5.25733639175803	64	64	0
295	-2.76933540717083	64	64	0
25	0	66	66	0
30	0	66	66	0
35	0	66	66	0
40	0	66	66	0
45	0	66	66	0
50	0	66	66	0
55	0	66	66	0
60	-200	64	66	0
65	-200	64	66	0
70	-200	64	66	0
75	-200	64	66	0
80	-200	64	66	0
85	-200	64	66	0
90	-200	64	66	0
95	-200	64	66	0
100	-200	64	66	0
105	-200	64	66	0
110	-200	64	66	0
115	-200	64	66	0
120	-200	64	66	0
125	-200	64	66	0
130	-200	64	66	0
135	-200	64	66	0
140	-200	64	66	0
145	-200	64	66	0
150	-200	64	66	0
155	-200	64	66	0
160	-200	64	66	0
165	-200	64	66	0
170	-200	64	66	0
175	-200	64	66	0
180	-200	64	66	0
185	-200	64	66	0
190	-200	64	66	0
195	-200	64	66	0
200	-200	64	66	0
205	-200	64	66	0
210	-200	64	66	0
215	-200	64	66	0
220	-200	64	66	0
225	-200	64	66	0
230	-200	64	66	0
235	-200	64	66	0
240	-200	64	66	0
245	-200	64	66	0
250	-200	64	66	0
255	-200	64	66	0
260	-200	64	66	0
265	-200	64	66	0
270	-200	64	66	0
275	-200	64	66	0
280	-200	64	66	0
285	-200	64	66	0
290	-200	64	66	0
295	-200	64	66	0
300	0	66	66	0
305	0	66	66	0
310	0	66	66	0
315	0	66	66	0
320	0	66	66	0
325	0	66	66	0
330	0	66	66	0
335	0	66	66	0
340	0	66	66	0
345	0	66	66	0
350	0	66	66	0
355	0	66	66	0
360	0	66	66	0
365	0	66	66	0
370	0	66	66	0
375	0	66	66	0
380	0	66	66	0
385	0.421165711332059	66	66	0
390	1.65980217882052	66	66	0
395	3.64242790524623	66	66	0
400	6.25019962660582	66	66	0
405	9.32419948843333	66	66	0
410	12.6725439648194	66	66	0
415	14.7008329338182	66	66	0
420	15.4504028591622	66	66	0
425	15.7439678171543	66	66	0
430	15.5728634978534	66	66	0
435	14.9421398938228	66	66	0
440	13.8704122540681	66	66	0
445	12.3893116714375	66	66	0
450	10.542551518908	66	66	0
455	8.38463728806675	66	66	0
460	5.97925790776273	66	66	0
465	3.39740602173363	66	66	0
470	0.715282703551986	66	66	0
475	-1.98795155062621	66	66	0
480	-4.63251317405141	66	66	0
485	-7.14035027074767	66	66	0
490	-9.43744624814919	66	66	0
495	-11.4560043513282	66	66	0
500	-13.1364486242186	66	66	0
505	-14.4291822412374	66	66	0
510	-14.3400456492349	66	66	0
515	-12.2745840050996	66	66	0
520	-9.78948494350982	66	66	0
525	-7.10278112703303	66	66	0
530	-4.43587726106373	66	66	0
535	0	66	66	0
